Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
cd4252b8429a4c550f178bb75216624ffb8950086ee2f92f0720c863757aaebc,a8fba4fdd5fefa1eb48d270c5e18665673f80d2fb1c5bc7aa689f57b2832e8dc,RETURNED,Not Applicable,2024-02-20T09:50:02.866000Z,,,2024-05-06T13:45:00.737855Z,,,49,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
bf5253a09963d63d4291e42e25b4d74f6c1c02d2aab7ea2d98840898633b192b,624d87cfe6bdff50c59346f1a4f2c5e7aeeab90cc73855577ac800022555f1a5,RETURNED,Not Applicable,2024-02-20T09:55:02.836000Z,,,2024-05-06T13:45:00.756541Z,,,217,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
4288ac26d6efb29a6a92ce40001f8f9268f532e326e1bd92b2450196f0167dc0,bfac7aca3e66c7ae92787666f6402e72bb31f0f5dc0665f42c3e12e50b701eb0,APPROVED,Not Applicable,2024-02-20T10:01:24.698000Z,2024-02-20T10:36:11.848000Z,2024-02-20T10:36:12.442000Z,2024-02-20T10:36:12.362112Z,2088.0,CJNL5D58,167,"English, German",30,Male,White,Germany,Germany,Germany,German,No,Full-Time
d81326ef55cffffeae68b1d1d63d282618bfe006fab887287d92c85840c89740,53fc0c72a1af8d57c8ce971f36510e30594a2abc0594cf8daa162e58d939c530,TIMED-OUT,Not Applicable,2024-02-20T10:06:21.702000Z,,,2024-05-06T13:45:00.755398Z,6579520.0,,3,"English, German, Vietnamese",22,Male,Asian,United Kingdom,Germany,Vietnam,English,No,Full-Time
305e1bbf3a1a8558f55594083a7f51c393a9bb0816df2a39c85a26e1e58c6979,86fb0337b5265be6eb49d0c18bb92373dd6fec9a7cf9a908b4f8f0ceef490158,APPROVED,Not Applicable,2024-02-20T10:00:15.081000Z,2024-02-20T10:52:38.476000Z,2024-02-20T10:52:39.085000Z,2024-02-20T10:52:39.019798Z,3144.0,CJNL5D58,3,"English, German",58,Male,White,Turkey,Germany,Turkey,Turkish,No,Unemployed (and job seeking)
36cdd6dd11757800954cbbeaa8534ad57437cc8e5e7499faf9948bd47d4423e7,582916f49b9bb16517f96a8aab4fdf76305c8701e8dac4fc3ef0f33f1b722d51,APPROVED,Not Applicable,2024-02-20T10:07:15.677000Z,2024-02-20T10:28:02.579000Z,2024-02-20T10:28:03.216000Z,2024-02-20T10:28:03.130131Z,1247.0,CJNL5D58,130,German,23,Male,White,Germany,Germany,Germany,German,Yes,Part-Time
575b047d3cbf59bf899dc1cd21f4f31b620301cc53e0c3c2aceeeaf8c3d51347,8e1f4a97685491e7baf68366ebda2a194cfa3f308074ab28e8d17b1f4bb03877,APPROVED,Not Applicable,2024-02-20T10:07:37.330000Z,2024-02-20T10:29:52.300000Z,2024-02-20T10:29:52.766000Z,2024-02-20T10:29:52.702535Z,1335.0,CJNL5D58,4,"English, German, Spanish, Turkish",23,Male,Other,Turkey,Germany,Turkey,Turkish,Yes,Part-Time
64e1c087e3ff5838211ac7133ac41542d4a207563828e4f4166c43850e7bb285,36b77c4fb4ba1eb6797a91dca52f4187710fc24f2b3cada6898850ea715d0d63,RETURNED,Not Applicable,2024-02-20T10:07:48.565000Z,,,2024-05-06T13:45:00.784652Z,,,96,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
dbb84aee29c57442bf6d47945484ce84a2abdaffc7b603a8d1329fdd6fb99e2a,797b5f5d9e0fad927c8def295ca6d3621c54671ba8804da9510a48414fe28eaf,APPROVED,Not Applicable,2024-02-20T10:09:01.347000Z,2024-02-20T10:41:40.213000Z,2024-02-20T10:41:40.721000Z,2024-02-20T10:41:40.653047Z,1959.0,CJNL5D58,861,"English, German",43,Male,White,Germany,Germany,Germany,German,No,Full-Time
0c84f367a1b3c384fcd8ff83c13d6b43bb609cd45a672586c7fe091edbfc0683,58c33f1a975e5cc179dc9d45629682b8bae431e2c4ab2b004e4371739a1dbdc2,APPROVED,Not Applicable,2024-02-20T10:09:47.396000Z,2024-02-20T10:45:59.213000Z,2024-02-20T10:45:59.762000Z,2024-02-20T10:45:59.699418Z,2172.0,CJNL5D58,26,"German, English",37,Male,White,Germany,Germany,Germany,German,Yes,Unemployed (and job seeking)
