"Akzeptanz eines neuen Materialsystems" "Energie   speichernd" "wartungsintensiv" "aktive Formänderung durch Umwelteinwirkung" "energieeffizient" "enthält Kunststoff" "ökologisch" "reaktionsfähig" "elektronikfrei" "zuverlässig" "nachhaltig" "passive Formänderung durch Umwelteinwirkung" "wartungsfrei" "umweltfreundlich" "selbstheilend" "widerstandsfähig" "energieautonom" "Insekten ähnlich" "selbstreparierend" "autonom" "bioinspiriert" "passive Verhaltensänderung durch Umwelteinwirkung" "leicht zerstörbar" "aktive Verhaltensänderung durch Umwelteinwirkung" "intelligent" "lebensähnlich" "haltbar" "Energie   generierend" "umweltschädlich" "robust" "langlebig" "multifunktional" "technologisch"
169 27 63 44 45 47 48 48 41 82 71 45 52 83 27 28 31 41 29 48 58 39 48 41 69 52 37 45 98 39 56 81 93
27 169 1 1 59 1 10 2 5 1 22 1 4 16 1 2 45 0 3 6 0 0 0 2 8 1 5 56 1 1 2 3 18
63 1 169 4 4 3 3 0 5 7 0 4 44 3 5 5 1 0 9 7 0 3 35 4 8 5 6 7 26 3 10 3 18
44 1 4 169 1 3 6 33 2 2 2 31 1 4 3 3 0 4 3 5 7 18 5 23 20 15 2 1 4 3 4 13 10
45 59 4 1 169 0 25 2 7 2 40 0 2 37 0 2 54 2 2 5 2 0 1 0 8 2 5 53 3 2 6 5 14
47 1 3 3 0 169 10 2 6 1 21 4 3 21 0 5 1 4 0 0 5 4 10 2 1 4 11 1 95 6 9 1 10
48 10 3 6 25 10 169 0 15 3 79 4 5 93 3 3 8 11 5 0 31 2 8 4 4 14 8 10 19 4 14 7 3
48 2 0 33 2 2 0 169 3 4 2 27 5 2 7 5 4 5 3 18 9 28 3 29 22 10 1 6 2 6 5 13 20
41 5 5 2 7 6 15 3 169 5 22 3 13 24 0 1 10 4 2 4 15 3 4 2 9 5 2 5 10 2 4 3 42
82 1 7 2 2 1 3 4 5 169 8 0 29 3 12 31 2 0 16 6 0 1 10 1 10 2 42 2 2 34 38 8 9
71 22 0 2 40 21 79 2 22 8 169 6 9 104 15 12 19 5 14 1 14 2 8 2 5 7 31 21 21 17 35 11 4
45 1 4 31 0 4 4 27 3 0 6 169 3 3 6 6 0 5 0 9 7 30 7 14 13 9 0 2 5 3 5 12 9
52 4 44 1 2 3 5 5 13 29 9 3 169 4 36 12 7 0 48 13 1 2 7 2 8 2 23 3 5 18 22 2 12
83 16 3 4 37 21 93 2 24 3 104 3 4 169 5 5 14 6 2 5 27 6 8 5 2 6 14 17 43 4 17 5 3
27 1 5 3 0 0 3 7 0 12 15 6 36 5 169 9 2 7 75 21 7 3 2 4 20 11 29 4 0 8 32 3 6
28 2 5 3 2 5 3 5 1 31 12 6 12 5 9 169 3 2 7 3 0 3 23 5 2 2 42 5 2 74 38 4 5
31 45 1 0 54 1 8 4 10 2 19 0 7 14 2 3 169 0 2 45 4 0 0 1 10 0 2 60 0 0 3 6 17
41 0 0 4 2 4 11 5 4 0 5 5 0 6 7 2 0 169 2 1 80 2 2 5 6 68 1 2 0 4 1 1 4
29 3 9 3 2 0 5 3 2 16 14 0 48 2 75 7 2 2 169 22 8 1 2 2 29 6 20 1 1 7 27 3 10
48 6 7 5 5 0 0 18 4 6 1 9 13 5 21 3 45 1 22 169 6 7 2 9 57 7 0 10 2 3 3 14 42
58 0 0 7 2 5 31 9 15 0 14 7 1 27 7 0 4 80 8 6 169 7 1 9 10 83 0 4 5 1 3 1 14
39 0 3 18 0 4 2 28 3 1 2 30 2 6 3 3 0 2 1 7 7 169 5 27 15 17 1 1 5 1 3 12 6
48 0 35 5 1 10 8 3 4 10 8 7 7 8 2 23 0 2 2 2 1 5 169 3 2 2 16 3 32 19 22 2 8
41 2 4 23 0 2 4 29 2 1 2 14 2 5 4 5 1 5 2 9 9 27 3 169 26 15 0 1 1 1 5 10 8
69 8 8 20 8 1 4 22 9 10 5 13 8 2 20 2 10 6 29 57 10 15 2 26 169 23 2 8 0 3 3 42 66
52 1 5 15 2 4 14 10 5 2 7 9 2 6 11 2 0 68 6 7 83 17 2 15 23 169 4 3 2 1 0 3 13
37 5 6 2 5 11 8 1 2 42 31 0 23 14 29 42 2 1 20 0 0 1 16 0 2 4 169 2 5 63 75 6 6
45 56 7 1 53 1 10 6 5 2 21 2 3 17 4 5 60 2 1 10 4 1 3 1 8 3 2 169 4 2 4 6 26
98 1 26 4 3 95 19 2 10 2 21 5 5 43 0 2 0 0 1 2 5 5 32 1 0 2 5 4 169 3 3 1 10
39 1 3 3 2 6 4 6 2 34 17 3 18 4 8 74 0 4 7 3 1 1 19 1 3 1 63 2 3 169 67 6 5
56 2 10 4 6 9 14 5 4 38 35 5 22 17 32 38 3 1 27 3 3 3 22 5 3 0 75 4 3 67 169 4 9
81 3 3 13 5 1 7 13 3 8 11 12 2 5 3 4 6 1 3 14 1 12 2 10 42 3 6 6 1 6 4 169 41
93 18 18 10 14 10 3 20 42 9 4 9 12 3 6 5 17 4 10 42 14 6 8 8 66 13 6 26 10 5 9 41 169
